lake_id,name,on_the_roster_as,note
wb4014,Beaver Lake,Beaver Lake - Lake Aeration,also stated on Alberta's own lake page
wb4061,Birch Lake,Birch Lake - Lake Aeration,approximately 16 km SW of Caroline
wb6778,Cecil Thompson Pond,Cecil Thompson Pond - Lake Aeration,northwest region
wb6858,Coleman Fish and Game Pond,Coleman Fish and Game Pond - Lake Aeration,also stated on Alberta's own lake page
wb4460,East Dollar Lake,Dollar Lakes - Lake Aeration,the roster lists the pair as one entry
wb6524,West Dollar Lake,Dollar Lakes - Lake Aeration,the roster lists the pair as one entry
wb24364,Fiesta Lake,Fiesta Lake - Lake Aeration,also stated on Alberta's own lake page
wb6827,Figure Eight Lake,Figure Eight Lake - Lake Aeration,approximately 21 km NW of Grimshaw
wb6806,Hansen's Reservoir,Hansen's Reservoir - Lake Aeration and ACA Fish Stocking,also stated on Alberta's own lake page
wb4794,Hasse Lake,Hasse Lake - Lake Aeration,
wb6786,Ironside Pond,Ironside Pond - Lake Aeration,also stated on Alberta's own lake page
wb6770,Kerbe's Pond,Kerbes Pond - Lake Aeration,the roster spells it without the apostrophe
wb5093,Little Bear Lake,NEW! - Little Bear Lake - Lake Aeration,marked new on the roster in 2026
wb5324,Millers Lake,Millers Lake - Lake Aeration,also stated on Alberta's own lake page
wb5348,Mitchell Lake,Mitchell Lake - Lake Aeration,approximately 19 km SW of Rocky Mountain House
wb5387,Muir Lake,Muir Lake - Lake Aeration,
wb5538,Peanut Lake,Peanut Lake - Lake Aeration,
wb26047,Radway Fish Pond,Radway Fish Pond - Lake Aeration and ACA Fish Stocking,
wb6693,Spring Lake (Spirit River),Spring Lake (Grande Prairie) - Lake Aeration,the roster's qualifier separates it from the other Spring Lake
wb5929,Sulphur Lake,Sulphur Lake - Lake Aeration,approximately 48 km SW of Manning
wb5944,Swan Lake,Swan Lake - Lake Aeration,"ACA places it approximately 42 km west of Valleyview, which is this Swan Lake and not the Red Earth one"
wb6617,Winchell Lake,Winchell Lake - Lake Aeration,also stated on Alberta's own lake page
