kind,value,lake_id,note
new,braconnier reservoir,,2011 BRACONNIER RESERVOIR
name,champion lakes lower champion lake,wb6608,2011 CHAMPION LAKES (LOWER CHAMPION LAKE)
ats,26-21-5-W5,wb6608,2011 CHAMPION LAKES (LOWER CHAMPION LAKE)
new,consort reservoir,,2011 CONSORT RESERVOIR
name,md peace pond 1,wb6721,2011 MD PEACE POND #1
ats,27-83-23-W5,wb6721,2011 MD PEACE POND #1
new,mountain vista estates pond,,2011 MOUNTAIN VISTA ESTATES POND
name,nordegg borrow pit east,wb6914,2011 NORDEGG BORROW PIT (EAST)
ats,32-40-15-W5,wb6914,2011 NORDEGG BORROW PIT (EAST)
name,nordegg borrow pit west,wb6915,2011 NORDEGG BORROW PIT (WEST)
name,wildhorse lakes lower wildhorse lake,wb6537,2011 WILDHORSE LAKES (LOWER WILDHORSE LAKE)
ats,31-49-26-W5,wb6537,2011 WILDHORSE LAKES (LOWER WILDHORSE LAKE)
name,wildhorse lakes upper wildhorse lake,wb6160,2011 WILDHORSE LAKES (UPPER WILDHORSE LAKE)
name,black nugget lake,wb6923,2015 BLACK NUGGET LAKE
name,brazeau burrow pit,wb6921,2015 BRAZEAU BURROW PIT
name,dollars lake,wb4460,2015 DOLLARS LAKE
name,hwy 63 pond,wb6668,2015 HWY 63 POND
name,little bear lake hasse,wb4794,2015 LITTLE BEAR LAKE (HASSE)
name,little beaver dam,wb6767,2015 LITTLE BEAVER DAM
name,lower champion lake,wb6608,2015 LOWER CHAMPION LAKE
new,morinville lake,,2015 MORINVILLE LAKE
new,niton pond,,2015 NITON POND
name,nordegg pond east pit,wb6914,2015 NORDEGG POND EAST PIT
name,nordegg pond west pit,wb6915,2015 NORDEGG POND WEST PIT
name,oles lake,wb5476,2015 OLES LAKE
name,peace pond 1,wb6721,2015 PEACE POND #1
name,pierre greys lake 1,wb6534,2015 PIERRE GREYS LAKE #1
name,pierre greys lake 2,wb6533,2015 PIERRE GREYS LAKE #2
name,pierre greys lake 3,wb5572,2015 PIERRE GREYS LAKE #3
name,pit 45,wb23791,2015 PIT 45
name,twin lake,wb6039,2015 TWIN LAKE
name,two lakes,wb6051,2015 TWO LAKES
name,upper champion lake,wb6607,2015 UPPER CHAMPION LAKE
name,upper wildhorse lake,wb6160,2015 UPPER WILDHORSE LAKE
name,east stormwater pond,wb22993,2020 EAST STORMWATER POND
ats,SE29-40-26-W4,wb22993,2020 EAST STORMWATER POND
name,magrath childrens pond,wb6751,2020 MAGRATH CHILDRENS POND
ats,SW26-5-22-W4,wb6751,2020 MAGRATH CHILDRENS POND
new,rawson lake,,2023 Rawson Lake
new,kinglet lake,,2023 Kinglet Lake
new,watridge lake,,2023 Watridge Lake
name,unnamed east stormwater pond,wb22993,2025 Unnamed East Stormwater Pond
name,west rivers edge fort lions park pond pond,wb26854,2025 West Rivers Edge Fort Lions Park Pond Pond
ats,NE23-54-23-W4,wb26854,2025 West Rivers Edge Fort Lions Park Pond Pond
name,magrath children s pond,wb6751,2011 MAGRATH CHILDREN'S POND
ats,26-5-22-W4,wb6751,2011 MAGRATH CHILDREN'S POND
name,peace pond 2,wb22995,2015 PEACE POND #2
name,unnamed md peace pond 2,wb22995,2025 Unnamed Md Peace Pond #2
ats,SW27-83-23-W5,wb22995,2025 Unnamed Md Peace Pond #2
name,champion lakes upper champion lake,wb6607,2020 CHAMPION LAKES (UPPER CHAMPION LAKE)
ats,NW26-21-5-W5,wb6607,2020 CHAMPION LAKES (UPPER CHAMPION LAKE)
