lake_id,field,value,decision,note
wb18997,surface_area_ha,7,fill,"Odlum Lake — Alberta publishes it, the repo had nothing"
wb18997,zone,ES1,fill,"Odlum Lake — Alberta publishes it, the repo had nothing"
wb21332,surface_area_ha,7,fill,"Camp 9 Trout Pond — Alberta publishes it, the repo had nothing"
wb21332,zone,ES2,fill,"Camp 9 Trout Pond — Alberta publishes it, the repo had nothing"
wb22993,surface_area_ha,1.3,fill,"East Stormwater Pond — Alberta publishes it, the repo had nothing"
wb22995,surface_area_ha,9,fill,"Md Peace Pond #2 — Alberta publishes it, the repo had nothing"
wb26729,surface_area_ha,2.9,fill,"Kakut Pond — Alberta publishes it, the repo had nothing"
wb26729,zone,ES4,fill,"Kakut Pond — Alberta publishes it, the repo had nothing"
wb4159,surface_area_ha,1.7,fill,"Burns Lake — Alberta publishes it, the repo had nothing"
wb4159,zone,ES1,fill,"Burns Lake — Alberta publishes it, the repo had nothing"
wb4261,surface_area_ha,18.4,fill,"Chickakoo Lake (Chickako Lake) — Alberta publishes it, the repo had nothing"
wb4261,zone,PP2,fill,"Chickakoo Lake (Chickako Lake) — Alberta publishes it, the repo had nothing"
wb4426,surface_area_ha,15,fill,"Lac Delorme (George'S Lake) — Alberta publishes it, the repo had nothing"
wb4426,zone,NB1,fill,"Lac Delorme (George'S Lake) — Alberta publishes it, the repo had nothing"
wb4532,position,,keep,"Emerald Lake (Hart Lake) — the map's row for id 4532 publishes no land description, the wrong district and no stocking history, while the survey grid puts the repo's position 0.37 km away and the map's 527 km. The map carries the Whitecourt lake separately as 6821. Checked, keeping ours."
wb4532,surface_area_ha,3.5,fill,"Emerald Lake (Hart Lake) — Alberta publishes it, the repo had nothing"
wb4532,zone,ES3,fill,"Emerald Lake (Hart Lake) — Alberta publishes it, the repo had nothing"
wb4535,surface_area_ha,17,fill,"Emerson Lakes — Alberta publishes it, the repo had nothing"
wb4535,zone,ES3,fill,"Emerson Lakes — Alberta publishes it, the repo had nothing"
wb4614,surface_area_ha,3.1,fill,"Fortress Lake — Alberta publishes it, the repo had nothing"
wb4614,zone,ES1,fill,"Fortress Lake — Alberta publishes it, the repo had nothing"
wb4642,surface_area_ha,5.7,fill,"Galatea Lakes (Lower Galatea Lake) — Alberta publishes it, the repo had nothing"
wb4642,zone,ES1,fill,"Galatea Lakes (Lower Galatea Lake) — Alberta publishes it, the repo had nothing"
wb4837,surface_area_ha,2.9,fill,"Hogarth Lakes (Upper Hogarth Lake) — Alberta publishes it, the repo had nothing"
wb4854,surface_area_ha,6.2,fill,"Lake Of The Horns — Alberta publishes it, the repo had nothing"
wb4854,zone,ES1,fill,"Lake Of The Horns — Alberta publishes it, the repo had nothing"
wb4888,surface_area_ha,5.1,fill,"Ice Lake — Alberta publishes it, the repo had nothing"
wb4888,zone,ES2,fill,"Ice Lake — Alberta publishes it, the repo had nothing"
wb4935,surface_area_ha,7.4,fill,"Jane Lake — Alberta publishes it, the repo had nothing"
wb4944,surface_area_ha,71.8,fill,"Jessie Lake — Alberta publishes it, the repo had nothing"
wb4944,zone,NB2,fill,"Jessie Lake — Alberta publishes it, the repo had nothing"
wb5074,surface_area_ha,3.5,fill,"Lillian Lake — Alberta publishes it, the repo had nothing"
wb5074,zone,ES1,fill,"Lillian Lake — Alberta publishes it, the repo had nothing"
wb5149,surface_area_ha,3.3,fill,"Loomis Lake — Alberta publishes it, the repo had nothing"
wb5149,zone,ES1,fill,"Loomis Lake — Alberta publishes it, the repo had nothing"
wb5158,surface_area_ha,5.2,fill,"Lost Guide Lake — Alberta publishes it, the repo had nothing"
wb5158,zone,ES2,fill,"Lost Guide Lake — Alberta publishes it, the repo had nothing"
wb5568,surface_area_ha,2.5,fill,"Phillipps Lake (Summit) — Alberta publishes it, the repo had nothing"
wb5568,zone,ES1,fill,"Phillipps Lake (Summit) — Alberta publishes it, the repo had nothing"
wb5667,surface_area_ha,7,fill,"Ribbon Lake — Alberta publishes it, the repo had nothing"
wb5667,zone,ES1,fill,"Ribbon Lake — Alberta publishes it, the repo had nothing"
wb6061,position,,keep,"Upper Kananaskis Lake — 1.19 km apart, but the map publishes 50.625,-115.15 to three and two decimal places against the repo's six, and the lake is 846 ha. Both positions are on the water; the repo's is the more precise. Checked, keeping ours."
wb6160,surface_area_ha,2.6,fill,"Wildhorse Lakes (Upper Wildhorse Lake) — Alberta publishes it, the repo had nothing"
wb6606,surface_area_ha,2.2,fill,"Upper Smuts Lake — Alberta publishes it, the repo had nothing"
wb6607,surface_area_ha,0.4,fill,"Champion Lakes (Upper Champion Lake) — Alberta publishes it, the repo had nothing"
wb6608,surface_area_ha,4.0,settled,"Champion Lakes (Lower) — the profile and the map disagree on both halves of this pair (profile 8.0/4.0, map 4.0/0.4) and the profile's Upper equals the map's Lower, so one of them has the two lakes crossed. The map agrees with the profile exactly on the other four shared-quarter-section pairs, so the pair is taken from the map. Which source is crossed is still unknown."
wb6638,surface_area_ha,2.4,fill,"Trapper Lake — Alberta publishes it, the repo had nothing"
wb6638,zone,ES3,fill,"Trapper Lake — Alberta publishes it, the repo had nothing"
wb6652,surface_area_ha,149,fill,"South Sundance Lake — Alberta publishes it, the repo had nothing"
wb6652,zone,ES3,fill,"South Sundance Lake — Alberta publishes it, the repo had nothing"
wb6669,surface_area_ha,13.2,fill,"Horseshoe Lake — Alberta publishes it, the repo had nothing"
wb6669,zone,NB2,fill,"Horseshoe Lake — Alberta publishes it, the repo had nothing"
wb6670,surface_area_ha,1.4,fill,"Two Hills Pond — Alberta publishes it, the repo had nothing"
wb6670,zone,PP2,fill,"Two Hills Pond — Alberta publishes it, the repo had nothing"
wb6714,surface_area_ha,13.2,fill,"Oyen Reservoir — Alberta publishes it, the repo had nothing"
wb6714,zone,PP2,fill,"Oyen Reservoir — Alberta publishes it, the repo had nothing"
wb6746,surface_area_ha,4.1,fill,"Mirror Reservoir — Alberta publishes it, the repo had nothing"
wb6746,zone,PP2,fill,"Mirror Reservoir — Alberta publishes it, the repo had nothing"
wb6760,position,"53.279,-110.1391",settled,"Lloydminster Trout Pond — both sources publish the same land description SE6-50-1-W4, and the survey grid sits 0.99 km from the map's position and 6.49 km from the profile's. The profile row contradicts its own land description, so the map wins."
wb6818,surface_area_ha,5.8,fill,"Goldspring Park Pond — Alberta publishes it, the repo had nothing"
wb6818,zone,PP1,fill,"Goldspring Park Pond — Alberta publishes it, the repo had nothing"
wb6836,surface_area_ha,6.5,fill,"Dormer Lake — Alberta publishes it, the repo had nothing"
wb6836,zone,ES1,fill,"Dormer Lake — Alberta publishes it, the repo had nothing"
wb6842,surface_area_ha,2.5,fill,"Echo Dale Regional Park Pond — Alberta publishes it, the repo had nothing"
wb6842,zone,PP1,fill,"Echo Dale Regional Park Pond — Alberta publishes it, the repo had nothing"
wb6846,surface_area_ha,8,fill,"Cottonwood Lake — Alberta publishes it, the repo had nothing"
wb6846,zone,ES1,fill,"Cottonwood Lake — Alberta publishes it, the repo had nothing"
wb6850,surface_area_ha,2,fill,"Cummings Lake — Alberta publishes it, the repo had nothing"
wb6850,zone,NB3,fill,"Cummings Lake — Alberta publishes it, the repo had nothing"
wb6861,surface_area_ha,6,fill,"Cipperley'S Reservoir — Alberta publishes it, the repo had nothing"
wb6861,zone,PP2,fill,"Cipperley'S Reservoir — Alberta publishes it, the repo had nothing"
wb6890,surface_area_ha,6,fill,"Bonnyville Town Pond (Slawuta Lake) — Alberta publishes it, the repo had nothing"
wb6890,zone,NB1,fill,"Bonnyville Town Pond (Slawuta Lake) — Alberta publishes it, the repo had nothing"
wb6910,surface_area_ha,3,fill,"Pine Point Borrow Pit — Alberta publishes it, the repo had nothing"
wb6910,zone,ES4,fill,"Pine Point Borrow Pit — Alberta publishes it, the repo had nothing"
wb6921,surface_area_ha,3.1,fill,"Brazeau Borrow Pit #1 — Alberta publishes it, the repo had nothing"
wb6921,zone,ES2,fill,"Brazeau Borrow Pit #1 — Alberta publishes it, the repo had nothing"
wb6922,zone,ES2,fill,"Brazeau Borrow Pit #2 — Alberta publishes it, the repo had nothing"
