verdict,lake,lake_id,waterbody_id,field,repo_value,alberta_value,note
disagree,Emerald Lake (Hart Lake),wb4532,4532,position,"49.62677,-114.64192","54.33340,-115.61830",527595 m apart
disagree,Lloydminster Trout Pond,wb6760,6760,position,"53.25943,-110.04075","53.27900,-110.13910",6893 m apart
disagree,Upper Kananaskis Lake,wb6061,6061,position,"50.61702,-115.16123","50.62500,-115.15000",1189 m apart
disagree,Champion Lakes (Lower),wb6608,6608,surface_area_ha,8.0,4,
fill,Allison Lake (Chinook Lake),wb6902,6902,max_depth_m,,4,
fill,Ashland Reservoir,wb6903,6903,max_depth_m,,6,
fill,Bathing Lake,wb6892,6892,max_depth_m,,21,
fill,Bear Pond,wb4005,4005,max_depth_m,,10.3,
fill,Beauvais Lake,wb4011,4011,max_depth_m,,10.7,
fill,Beaver Lake,wb4014,4014,max_depth_m,,9,
fill,Beaver Mines Lake,wb4018,4018,max_depth_m,,5.5,
fill,Bellis Beach Lake,wb6894,6894,max_depth_m,,6,
fill,Birch Lake,wb4061,4061,max_depth_m,,10.3,
fill,Black Nugget Mine Pit,wb6923,6923,max_depth_m,,6,
fill,Blood Indian Creek Reservoir,wb3494,3494,max_depth_m,,13.3,
fill,Bonnyville Town Pond (Slawuta Lake),wb6890,6890,max_depth_m,,4,
fill,Boyle Pond,wb6884,6884,max_depth_m,,5.2,
fill,Brazeau Borrow Pit #1,wb6921,6921,max_depth_m,,5.7,
fill,Brazeau Borrow Pit #2,wb6922,6922,max_depth_m,,2.5,
fill,Bud Miller Park Pond,wb6876,6876,max_depth_m,,5,
fill,Captain Eyre (Ayre) Lake,wb4208,4208,max_depth_m,,7.2,
fill,Cardiff Park Pond,wb6868,6868,max_depth_m,,11,
fill,Castor Eastside Trout Pond,wb18022,18022,max_depth_m,,7,
fill,Chain Lakes (Lower Chain Lake),wb6528,6528,max_depth_m,,8,
fill,Chain Lakes Reservoir,wb3499,3499,max_depth_m,,9.1,
fill,Chatwin Lake,wb4252,4252,max_depth_m,,5,
fill,Chickakoo Lake (Chickako Lake),wb4261,4261,max_depth_m,,5,
fill,Coleman Fish and Game Pond (McGillivray),wb6858,6858,max_depth_m,,5.2,
fill,Coronation Reservoir,wb6845,6845,max_depth_m,,4.5,
fill,Cow Lake,wb4340,4340,max_depth_m,,3,
fill,Dickson Trout Pond,wb6844,6844,max_depth_m,,6,
fill,Dillberry Lake,wb4446,4446,max_depth_m,,10.7,
fill,Diplomat Mine Pond,wb6833,6833,max_depth_m,,6.3,
fill,Dolberg Lake,wb4458,4458,max_depth_m,,9,
fill,East Pit Lake,wb6840,6840,max_depth_m,,8.3,
fill,East Twin Lake,wb6044,6044,max_depth_m,,9.9,
fill,Edith Lake,wb4505,4505,max_depth_m,,5.6,
fill,Engstrom Lake,wb4539,4539,max_depth_m,,6.8,
fill,Entry Lake,wb6662,6662,max_depth_m,,7.3,
fill,Fairfax Lake,wb4562,4562,max_depth_m,,7.6,
fill,Fairview College Pond,wb6825,6825,max_depth_m,,6,
fill,Fiesta Lake,wb24364,24364,max_depth_m,,7,
fill,Figure Eight Lake,wb6827,6827,max_depth_m,,6.3,
fill,Genesee Trout Pond,wb23292,23292,max_depth_m,,5.5,
fill,Grande Cache Lake,wb4725,4725,max_depth_m,,10.8,
fill,Hasse Lake,wb4794,4794,max_depth_m,,14,
fill,Helmer Reservoir,wb6803,6803,max_depth_m,,4.5,
fill,Heritage Pond,wb6790,6790,max_depth_m,,12,
fill,High Level Community Park Pond (High Level Town Pond),wb26431,26431,max_depth_m,,4.4,
fill,Highway 40 Pond,wb6794,6794,max_depth_m,,6,
fill,Hiller's (Dam) Reservoir,wb6796,6796,max_depth_m,,5.8,
fill,Horseshoe Lake,wb6669,6669,max_depth_m,,8,
fill,Huber Reservoir,wb6780,6780,max_depth_m,,9,
fill,Ironside Pond,wb6786,6786,max_depth_m,,13,
fill,Jack Fish Lake,wb4920,4920,max_depth_m,,4.5,
fill,Jane Lake,wb4935,4935,max_depth_m,,21.3,
fill,Kakut Pond,wb26729,26729,max_depth_m,,4,
fill,Kerbe's Pond,wb6770,6770,max_depth_m,,3.9,
fill,Kids Can Catch Pond,wb26447,26447,max_depth_m,,5,
fill,Kinky Lake,wb5002,5002,max_depth_m,,6,
fill,Kramer Pond,wb6774,6774,max_depth_m,,5,
fill,La Crete Pond,wb20267,20267,max_depth_m,,6.1,
fill,Lac Delorme (George'S Lake),wb4426,4426,max_depth_m,,7,
fill,Leduc Reservoir,wb6764,6764,max_depth_m,,5.2,
fill,Lees Lake,wb5050,5050,max_depth_m,,7,
fill,Little Bear Lake (Hasse Lake),wb5093,5093,max_depth_m,,10,
fill,MD Peace Pond #1,wb6721,6721,max_depth_m,,5,
fill,Mary Gregg Lake,wb5245,5245,max_depth_m,,13,
fill,Mayan Lake,wb19525,19525,max_depth_m,,65,
fill,McClennan Reservoir,wb6753,6753,max_depth_m,,7,
fill,McLaren's Reservoir,wb6755,6755,max_depth_m,,7,
fill,Md Peace Pond #2,wb22995,22995,max_depth_m,,4,
fill,Michel Reservoir,wb3523,3523,max_depth_m,,4,
fill,Michichi Reservoir,wb3524,3524,max_depth_m,,6,
fill,Mile 07 Lake,wb6642,6642,max_depth_m,,10,
fill,Mitchell Lake,wb5348,5348,max_depth_m,,7.3,
fill,Montagneuse (Stony) Lake,wb6684,6684,max_depth_m,,6.3,
fill,Moonshine (Mirage) Lake,wb5360,5360,max_depth_m,,3,
