lake_id,year,report_name,ats,why,candidate_1,candidate_2,candidate_3,rows_affected
,2011,BRACONNIER RESERVOIR,20-31-23-W4,"best McVinnie Reservoir at name 0.79, runner-up 0.74",wb6758 | McVinnie Reservoir | no position | name 0.79,wb6780 | Huber Reservoir | no position | name 0.74,wb6746 | Mirror Reservoir | no position | name 0.72,1
,2011,CHAMPION LAKES (LOWER CHAMPION LAKE),26-21-5-W5,2 lakes share this partial land description,wb6608 | Champion Lakes (Lower) | no position | name 0.95,wb6607 | Champion Lakes (Upper Champion Lake) | no position | name 0.91,,1
,2011,CHAMPION LAKES (UPPER CHAMPION LAKE),26-21-5-W5,2 lakes share this partial land description,wb6607 | Champion Lakes (Upper Champion Lake) | no position | name 1.00,wb6608 | Champion Lakes (Lower) | no position | name 0.63,,1
,2011,CONSORT RESERVOIR,15-35-6-W4,"best Oyen Reservoir at name 0.77, runner-up 0.76",wb6714 | Oyen Reservoir | no position | name 0.77,wb6845 | Coronation Reservoir | no position | name 0.76,wb6831 | Foremost Reservoir | no position | name 0.74,1
,2011,MAGRATH CHILDREN'S POND,26-5-22-W4,2 lakes share this partial land description,wb6751 | Magrath Children's Pond | no position | name 1.00,wb317719 | Magrath Childrens Pond | no position | name 0.98,,2
,2011,MD PEACE POND #1,27-83-23-W5,2 lakes share this partial land description,wb6721 | MD Peace Pond #1 | no position | name 1.00,wb22995 | Md Peace Pond #2 | no position | name 0.93,,1
,2011,MOUNTAIN VISTA ESTATES POND,31-4-27-W4,"best Grotto Mountain Pond at name 0.63, runner-up 0.61",wb3476 | Grotto Mountain Pond | no position | name 0.63,wb3482 | Mount Lorette Ponds | no position | name 0.61,wb22993 | East Stormwater Pond [NW29-40-26-W4] | no position | name 0.46,1
,2011,NORDEGG BORROW PIT (EAST),32-40-15-W5,2 lakes share this partial land description,wb6914 | Nordegg Borrow Pit (East) | no position | name 1.00,wb6915 | Nordegg Borrow Pit (West) | no position | name 0.96,,2
,2011,NORDEGG BORROW PIT (WEST),32-40-15-W5,2 lakes share this partial land description,wb6915 | Nordegg Borrow Pit (West) | no position | name 1.00,wb6914 | Nordegg Borrow Pit (East) | no position | name 0.96,,2
,2011,WILDHORSE LAKES (LOWER WILDHORSE LAKE),31-49-26-W5,2 lakes share this partial land description,wb6537 | Lower Wildhorse Lakes | no position | name 0.95,wb6160 | Wildhorse Lakes (Upper Wildhorse Lake) | no position | name 0.92,,1
,2011,WILDHORSE LAKES (UPPER WILDHORSE LAKE),31-49-26-W5,2 lakes share this partial land description,wb6160 | Wildhorse Lakes (Upper Wildhorse Lake) | no position | name 1.00,wb6537 | Lower Wildhorse Lakes | no position | name 0.63,,1
,2015,BLACK NUGGET LAKE,,"best Black Nugget Mine Pit at name 0.74, runner-up 0.69",wb6923 | Black Nugget Mine Pit | no position | name 0.74,wb4094 | Blue Lake | no position | name 0.69,wb4965 | Kakut Lake | no position | name 0.67,3
,2015,BRAZEAU BURROW PIT,,names disagree on which of a pair this is (Brazeau Borrow Pit #1),wb6921 | Brazeau Borrow Pit #1 | no position | name 0.89,wb6922 | Brazeau Borrow Pit #2 | no position | name 0.89,wb6914 | Nordegg Borrow Pit (East) | no position | name 0.59,1
,2015,DOLLARS LAKE,,name-only row near a similarly named lake,wb4460 | East Dollar Lake | no position | name 0.79,wb6524 | West Dollar Lake | no position | name 0.79,wb4458 | Dolberg Lake | no position | name 0.75,2
,2015,HWY 63 POND,,"best Highway 63 Pond at name 0.85, runner-up 0.74",wb6668 | Highway 63 Pond | no position | name 0.85,wb6795 | Highway 686 Pond | no position | name 0.74,wb6794 | Highway 40 Pond | no position | name 0.69,1
,2015,LITTLE BEAR LAKE (HASSE),,"best Hasse Lake at name 0.95, runner-up 0.95",wb4794 | Hasse Lake | no position | name 0.95,wb5093 | Little Bear Lake (Hasse Lake) | no position | name 0.95,wb6767 | Little Beaverdam Lake | no position | name 0.74,4
,2015,LITTLE BEAVER DAM,,"best Little Beaverdam Lake at name 0.84, runner-up 0.59",wb6767 | Little Beaverdam Lake | no position | name 0.84,wb5093 | Little Bear Lake (Hasse Lake) | no position | name 0.59,wb4014 | Beaver Lake | no position | name 0.57,1
,2015,LOWER CHAMPION LAKE,,name-only row near a similarly named lake,wb6608 | Champion Lakes (Lower) | no position | name 0.67,wb6528 | Chain Lakes (Lower Chain Lake) | no position | name 0.68,wb6605 | Lower Smuts Lake | no position | name 0.69,1
,2015,MORINVILLE LAKE,,"best Millers Lake at name 0.74, runner-up 0.73",wb5324 | Millers Lake | no position | name 0.74,wb4897 | Invincible Lake | no position | name 0.73,wb5476 | Ole Lake | no position | name 0.70,1
,2015,NITON POND,,"best Gibbons Park Pond at name 0.73, runner-up 0.73",wb6816 | Gibbons Park Pond | no position | name 0.59,wb395196 | Mitford Pond | no position | name 0.73,wb22504 | Riverstone Pond | no position | name 0.72,1
,2015,NORDEGG POND EAST PIT,,name-only row near a similarly named lake,wb6914 | Nordegg Borrow Pit (East) | no position | name 0.71,wb6915 | Nordegg Borrow Pit (West) | no position | name 0.59,wb395196 | Mitford Pond | no position | name 0.48,1
,2015,NORDEGG POND WEST PIT,,name-only row near a similarly named lake,wb6915 | Nordegg Borrow Pit (West) | no position | name 0.71,wb6914 | Nordegg Borrow Pit (East) | no position | name 0.64,wb6910 | Pine Point Borrow Pit | no position | name 0.57,1
,2015,OLES LAKE,,"best Ole Lake at name 0.94, runner-up 0.89",wb5476 | Ole Lake | no position | name 0.94,wb5050 | Lees Lake | no position | name 0.89,wb4094 | Blue Lake | no position | name 0.78,1
,2015,PEACE POND #1,,name-only row near a similarly named lake,wb6721 | MD Peace Pond #1 | no position | name 0.95,wb22995 | Md Peace Pond #2 | no position | name 0.81,wb6637 | Texaco Pond | no position | name 0.70,1
,2015,PIERRE GREYS LAKE #1,,name-only row near a similarly named lake,wb6534 | Pierre Greys Lakes (Lower) #1 | no position | name 0.84,wb5572 | Pierre Greys Lakes (Upper) #3 | no position | name 0.80,wb6533 | Pierre Greys Lakes (Middle) #2 | no position | name 0.78,1
,2015,PIERRE GREYS LAKE #2,,name-only row near a similarly named lake,wb6533 | Pierre Greys Lakes (Middle) #2 | no position | name 0.83,wb5572 | Pierre Greys Lakes (Upper) #3 | no position | name 0.80,wb6534 | Pierre Greys Lakes (Lower) #1 | no position | name 0.80,1
,2015,PIERRE GREYS LAKE #3,,name-only row near a similarly named lake,wb5572 | Pierre Greys Lakes (Upper) #3 | no position | name 0.84,wb6534 | Pierre Greys Lakes (Lower) #1 | no position | name 0.80,wb6533 | Pierre Greys Lakes (Middle) #2 | no position | name 0.78,2
,2015,PIT 45,,name-only row near a similarly named lake,wb23790 | Pit 35 Lake | no position | name 0.59,wb23791 | Pit 45 Lake | no position | name 0.95,wb23789 | Pit 24 Lake | no position | name 0.59,1
,2015,TWIN LAKE,,names disagree on which of a pair this is (East Twin Lake),wb6044 | East Twin Lake | no position | name 0.95,wb6039 | Twin Lakes | no position | name 0.95,wb4252 | Chatwin Lake | no position | name 0.86,5
