waterbody_id,name,species,records,zone,why
3515,Little Bow Lake Reservoir,WALLEYE,5,PP1,stocked with no trout; this is a trout map
3526,Milk River Ridge Reservoir,WALLEYE,3,PP1,stocked with no trout; this is a trout map
3536,Stafford Lake,WALLEYE,3,PP1,stocked with no trout; this is a trout map
3537,Travers Reservoir,WALLEYE,11,PP1,stocked with no trout; this is a trout map
3959,Badger Lake Reservoir,WALLEYE,1,,stocked with no trout; this is a trout map
4027,Lac Bellevue,NORTHERN PIKE; WALLEYE,5,NB1,stocked with no trout; this is a trout map
4161,Burnstick Lake,WALLEYE,5,ES2,stocked with no trout; this is a trout map
4265,Chin Reservoir,WALLEYE,3,PP1,stocked with no trout; this is a trout map
4351,Moore Lake,WALLEYE,3,NB1,stocked with no trout; this is a trout map
4571,Fickle Lake,WALLEYE,1,ES3,stocked with no trout; this is a trout map
4635,Frog Lake,WALLEYE,5,,stocked with no trout; this is a trout map
4708,Goose Lake,WALLEYE,3,NB2,stocked with no trout; this is a trout map
4977,Kehewin Lake,WALLEYE,2,NB1,stocked with no trout; this is a trout map
4978,Keho Lake,WALLEYE,1,PP1,stocked with no trout; this is a trout map
5099,Little Fish Lake,NORTHERN PIKE,1,,stocked with no trout; this is a trout map
5275,Mcgregor Reservoir,WALLEYE,13,PP1,stocked with no trout; this is a trout map
5336,Minnow Lake,WALLEYE,3,ES3,stocked with no trout; this is a trout map
5434,Lake Newell,WALLEYE,2,PP2,stocked with no trout; this is a trout map
5581,Pinehurst Lake,WALLEYE,4,NB1,stocked with no trout; this is a trout map
5646,Sauder (Rattlesnake) Reservoir,WALLEYE,4,PP1,stocked with no trout; this is a trout map
5743,Sandy Lake,WALLEYE,1,NB3,stocked with no trout; this is a trout map
5758,Swan Lake,WALLEYE,1,,stocked with no trout; this is a trout map
5790,Sherburne Reservoir,WALLEYE,1,,stocked with no trout; this is a trout map
5820,Skeleton Lake,WALLEYE,1,NB1,stocked with no trout; this is a trout map
5952,Sylvan Lake,WALLEYE,9,PP2,stocked with no trout; this is a trout map
6097,Wadlin Lake,WALLEYE,2,NB3,stocked with no trout; this is a trout map
6169,Winagami Lake,WALLEYE,7,NB2,stocked with no trout; this is a trout map
6813,Forty Mile Coulee Reservoir,WALLEYE,6,PP1,stocked with no trout; this is a trout map
18014,South Heart Reservoir,WALLEYE,2,NB2,stocked with no trout; this is a trout map
23327,Twin Valley Reservoir,WALLEYE,4,,stocked with no trout; this is a trout map
24236,Brazeau Canal,WALLEYE,2,ES2,stocked with no trout; this is a trout map
