waterbody_id,name,confidence,evidence
4014,Beaver Lake,stated,The lake is stocked annually with trout by the Alberta Environment and Protected Areas (EPA) and is aerated from October through April as part of the Alberta Conservation Association’s (ACA) Lake Aeration Program.
4460,East Dollar Lake,stated,This waterbody is stocked by EPA with trout and is aerated during the winter months.
5324,Millers Lake,stated,"There is a boat launch, and the lake is stocked annually by AEP with trout and is aerated in winter through ACA’s Lake Aeration Program."
5729,Salter's Lake,stated,"Open to the public all year round, the lake is aerated in order to support the fish population."
6524,West Dollar Lake,stated,These lakes are stocked annually by EPA with trout and aerated (October - April) through ACA’s Lake Aeration Program.
6617,Winchell Lake,stated,The lake is stocked annually by EPA with trout and aerated in the winter through ACA’s Lake Aeration Program.
6770,Kerbe's Pond,stated,This waterbody is part of the ACA's Lake Aeration Program.
6786,Ironside Pond,stated,This pond is aerated October - April through the ACA Lake Aeration Program.
6806,Hansen's Reservoir,stated,The reservoir is aerated during winter and provides good sport fishing opportunities.
6858,Coleman Fish and Game Pond,stated,EPA stocks this pond annually with trout and it is aerated in winter through ACA’s Lake Aeration Program.
20258,Castaway Trout Pond,photo_caption,Photo caption mentions equipment: Castaway Pond picnic area and windmill aerator. Current operation not confirmed.
21332,Camp 9 Trout Pond,stated,"Fish are stocked in the upper section of the pond, and aeration is provided by a windmill system to maintain water quality."
24053,Lara Fish Pond,photo_caption,Photo caption mentions equipment: Lara Fish Pond with windmill aeration. Current operation not confirmed.
24364,Fiesta Lake,stated,The lake is stocked annually by AEP with trout and is aerated (October - April) through ACA's Lake Aeration Program.
