lake_id,lake_name,zone,species,source_url,source,retrieved
wb6902,Allison Lake,ES1,WSCT,https://www.anglersatlas.com/place/102602/allison-lake,anglersatlas,2026-09-12
wb4011,Beauvais Lake,ES1,BNTR,https://www.anglersatlas.com/place/129635/beauvais-lake,anglersatlas,2026-09-12
wb4014,Beaver Lake,ES2,RNTR,https://www.anglersatlas.com/place/129637/beaver-lake,anglersatlas,2026-09-12
wb4018,Beaver Mines Lake,ES1,RNTR;BNTR,https://www.anglersatlas.com/place/101807/beaver-mines-lake,anglersatlas,2026-09-12
wb4061,Birch Lake,ES2,BKTR;RNTR;BNTR,https://www.anglersatlas.com/place/101813/birch-lake,anglersatlas,2026-09-12
wb6923,Black Nugget Mine Pit,PP2,RNTR;TGTR,https://www.anglersatlas.com/place/712623/black-nugget-mine-pit,anglersatlas,2026-09-12
wb3494,Blood Indian Creek Reservoir,PP2,BKTR;BNTR,https://www.anglersatlas.com/place/160987/blood-indian-creek-reservoir,anglersatlas,2026-09-12
wb24236,Brazeau Canal,ES2,NRPK,https://www.anglersatlas.com/place/726192/brazeau-canal,anglersatlas,2026-09-12
wb4340,Cow Lake,ES2,RNTR;BNTR;NRPK;YLPR,https://www.anglersatlas.com/place/101853/cow-lake,anglersatlas,2026-09-12
wb4374,Crowsnest Lake,ES1,LKTR;CTTR;RNTR,https://www.anglersatlas.com/place/101858/crowsnest-lake,anglersatlas,2026-09-12
wb4446,Dillberry Lake,PP2,RNTR;YLPR;TGTR,https://www.anglersatlas.com/place/154692/dillberry-lake,anglersatlas,2026-09-12
wb4458,Dolberg Lake,NB2,TGTR;RNTR,https://www.anglersatlas.com/place/101867/dolberg-lake,anglersatlas,2026-09-12
wb6823,Enchant Pond,PP1,YLPR,https://www.anglersatlas.com/place/875896/enchant-pond,anglersatlas,2026-09-12
wb4571,Fickle Lake,ES3,LKWH,https://www.anglersatlas.com/place/101883/fickle-lake,anglersatlas,2026-09-12
wb4794,Hasse Lake,PP2,RNTR;TGTR;NRPK;YLPR,https://www.anglersatlas.com/place/101919/hasse-lake,anglersatlas,2026-09-12
wb26729,Kakut Pond,ES4,RNTR,https://www.anglersatlas.com/place/130602/kakut-lake,anglersatlas,2026-09-12
wb4977,Kehewin Lake,NB1,NRPK,https://www.anglersatlas.com/place/101940/kehiwin-lake,anglersatlas,2026-09-12
wb4978,Keho Lake,PP1,NRPK;WALL;LKWH;BURB,https://www.anglersatlas.com/place/101941/keho-lake,anglersatlas,2026-09-12
wb5179,Lower Kananaskis Lake,Not stated,BLTR;CTTR;RNTR,https://www.anglersatlas.com/place/129746/lower-kananaskis-lake,anglersatlas,2026-09-12
wb3526,Milk River Ridge Reservoir,PP1,BURB;WALL,https://www.anglersatlas.com/place/101993/milk-river-ridge-reservoir,anglersatlas,2026-09-12
wb5324,Millers Lake,ES3,TGTR,https://www.anglersatlas.com/place/101994/millers-lake,anglersatlas,2026-09-12
wb5336,Minnow Lake,ES3,YLPR,https://www.anglersatlas.com/place/130141/minnow-lake,anglersatlas,2026-09-12
wb6736,Morinville Fish and Game Pond,PP2,RNTR,https://www.anglersatlas.com/place/2049967/morinville-fish-and-game-pond,anglersatlas,2026-09-12
wb3482,Mount Lorette Ponds,ES1,RNTR,https://www.anglersatlas.com/place/724129/mount-lorette-ponds,anglersatlas,2026-09-12
wb5387,Muir Lake,PP2,BNTR;RNTR,https://www.anglersatlas.com/place/102000/muir-lake,anglersatlas,2026-09-12
wb5407,Muskiki Lake,ES2,CTTR;BKTR,https://www.anglersatlas.com/place/130318/muskiki-lake,anglersatlas,2026-09-12
wb5538,Peanut Lake,NB2,RNTR,https://www.anglersatlas.com/place/102015/peanut-lake,anglersatlas,2026-09-12
wb5569,Phyllis Lake,ES2,RNTR;YLPR,https://www.anglersatlas.com/place/136982/phyllis-lake,anglersatlas,2026-09-12
wb5581,Pinehurst Lake,NB1,NRPK;WALL;BURB;YLPR;LKWH,https://www.anglersatlas.com/place/102022/pinehurst-lake,anglersatlas,2026-09-12
wb5661,Reesor Lake,PP1,RNTR,https://www.anglersatlas.com/place/102026/reesor-lake,anglersatlas,2026-09-12
wb5895,Star Lake,PP2,RNTR,https://www.anglersatlas.com/place/102057/star-lake,anglersatlas,2026-09-12
wb5919,Strubel Lake,ES2,RNTR;YLPR,https://www.anglersatlas.com/place/102060/strubel-lake,anglersatlas,2026-09-12
wb5944,Swan Lake,ES4,RNTR,https://www.anglersatlas.com/place/130354/swan-lake,anglersatlas,2026-09-12
wb5952,Sylvan Lake,PP2,NRPK;WALL;YLPR;LKWH;BURB,https://www.anglersatlas.com/place/102064/sylvan-lake,anglersatlas,2026-09-12
wb3537,Travers Reservoir,PP1,WALL;NRPK;YLPR;BURB;LKWH,https://www.anglersatlas.com/place/102072/travers-reservoir,anglersatlas,2026-09-12
