waterbody_id,lake_id,registry_name,max_depth_m,mean_depth_m,surface_area_ha,zone,legal_land_description,latitude,longitude,elevation_m,species,average_length_cm,stocked_years,access,amenities,region,county,depth_stated_unavailable
2129,wb2129,Medley River,,,,NB1,SE11-65-2-W4,54.6042,-110.1865,,,,2022 2023 2024 2025,"https://www.google.com/maps/dir/?api=1&destination=54.604201,-110.186494",Beach; Parking; Toilets,Cold Lake,,
3476,wb3476,Grotto Mountain Pond,,,2.5,ES1,NW21-24-9-W5,51.0658,-115.2024,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=51.06576099999999,-115.202402",Day Use; Picnic; Toilets,Canmore,,
3479,wb3479,Lambert Pond,,,3.3,ES3,NW8-53-17-W5,53.5664,-116.4815,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=53.56638299999999,-116.481493",,Edson,,
3482,wb3482,Mount Lorette Ponds,,,1.6,ES1,SW19-23-8-W5,50.9696,-115.1079,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=50.969566,-115.107943",Day Use; Picnic; Trails; Trails Hiking; Accessibility,Canmore,,
3485,wb3485,Rocky Children's Pond,2.7,,1.4,ES2,SW33-39-7-W5,52.3987,-114.9497,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=52.398682,-114.949741",Trails; Trails Hiking; Dock/Pier; Toilets; Fire Pits,Rocky Mountain House,,
3486,wb3486,Sibbald Meadows Pond,,,3.6,ES1,SW20-24-7-W5,51.0546,-114.9447,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=51.05457,-114.944741",Toilets; Day Use,Canmore,,
3494,wb3494,Blood Indian Creek Reservoir,13.3,6,90.1,PP2,SW28-26-9-W4,51.2485,-111.2103,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=51.24853,-111.210333",Camping; Fish Cleaning; Toilets; Boat Launch; Dock/Pier; Day Use; Picnic; Day Use Picnic; Showers; Laundry; Retail/Services,Hanna,,
3499,wb3499,Chain Lakes Reservoir,9.1,9.1,643.4,ES1,NE4-15-2-W5,50.2369,-114.208,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=50.236864,-114.20802",Water; Washrooms; Camping; Camping Power; Firewood; Shelter; Playground; Boat Launch; Beach; Retail/Services; Sewage Disposal,Claresholm,,
3515,,,,,803.9,PP1,SE28-14-20-W4,50.1944,-112.6757,,,,2021 2022 2023,"https://www.google.com/maps/dir/?api=1&destination=50.19435499999999,-112.675682",Paddling; Paddling Canoe; Boating; Water; Swimming; Camping,Vulcan,,
3522,wb3522,McLean Pond,,,1.9,ES1,NW20-22-5-W5,50.8881,-114.6691,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=50.888074,-114.669068",Picnic; Fire Pits; Toilets; Playground; Sewage Disposal; Water; Day Use,Cochrane,,
3523,wb3523,Michel Reservoir,4,,23.1,PP1,NE5-7-3-W4,49.5313,-110.3723,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=49.53128299999999,-110.372274",Day Use; Toilets,Medicine Hat,,
3524,wb3524,Michichi Reservoir,6,4,15.6,PP2,SW19-30-18-W4,51.5826,-112.5295,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=51.58264699999999,-112.52946",Camping; Camping Group; Water; Shelter; Firewood; Showers; Sewage Disposal; Playground; Picnic,Drumheller,,
3526,,,,,125.4,PP1,NE11-5-20-W4,49.3751,-112.5874,,,,2021 2022,"https://www.google.com/maps/dir/?api=1&destination=49.375056,-112.587358",Boating; Wildlife Viewing; Camping,Lethbridge,,
3534,wb3534,Spruce Coulee Reservoir,5,2,19.7,PP1,SW26-8-2-W4,49.6737,-110.1816,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=49.673739,-110.181613",Camping; Dock/Pier; Fishing Access; Fishing Access Dock; Toilets; Picnic; Shelter; Boat Launch; Water,Medicine Hat,,
3536,,,,,488.2,PP1,NE27-8-18-W4,49.6831,-112.3562,,,,2021 2022 2023,"https://www.google.com/maps/dir/?api=1&destination=49.683103,-112.356181",Swimming; Picnic; Day Use; Camping,Lethbridge,,
3537,,,,,2239.2,PP1,SW33-14-21-W4,50.2084,-112.8157,,,,2021 2022 2023 2024 2025,"https://www.google.com/maps/dir/?api=1&destination=50.208359,-112.815741",Paddling; Paddling Canoe; Boating; Camping,Lethbridge,,
3899,wb3899,Alford Lake,,,4.9,ES2,SW4-36-8-W5,52.0635,-115.0922,,,,2021 2022 2023 2024 2025 2026,"https://www.google.com/maps/dir/?api=1&destination=52.063523,-115.092202",,Rocky Mountain House,,
3909,wb3909,Allstones Lake,,,3.5,ES2,NW30-38-17-W5,52.3031,-116.4186,,,,2021 2023 2025,"https://www.google.com/maps/dir/?api=1&destination=52.303119,-116.418572",Toilets; Camping,Nordegg,,
