waterbody_id,lake_id,caption,url
2129,wb2129,Medly River culvert,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Medley%20River/Medly%20River%20culvert.jpg
2129,wb2129,Medly River golden grass and clear water,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Medley%20River/Medly%20River%20golden%20grass%20and%20clear%20water.jpg
3476,wb3476,Grotto Pond highway view,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Grotto%20Mountain%20Pond/Grotto%20Pond%20highway%20view.JPG
3476,wb3476,Grotto Pond moutian view,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Grotto%20Mountain%20Pond/Grotto%20Pond%20moutian%20view.jpg
3476,wb3476,Grotto Pond tree side view,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Grotto%20Mountain%20Pond/Grotto%20Pond%20tree%20side%20view.JPG
3479,wb3479,Lambert Pond on a cloudy day,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Lambert%20Pond/Lambert%20Pond%20on%20a%20cloudy%20day.JPG
3479,wb3479,Lambert pond on a cloudy day opposite view,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Lambert%20Pond/Lambert%20pond%20on%20a%20cloudy%20day%20opposite%20view.JPG
3482,wb3482,Mt Lorette Pond,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Mount%20Lorette%20Ponds/Mt%20Lorette%20Pond.JPG
3482,wb3482,mt Lorrette pond moutian view,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Mount%20Lorette%20Ponds/mt%20Lorrette%20pond%20moutian%20view.JPG
3482,wb3482,mt. lorette pond water and walk path,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Mount%20Lorette%20Ponds/mt.%20lorette%20pond%20water%20and%20walk%20path.jpg
3482,wb3482,mt.lorette clear blue water,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Mount%20Lorette%20Ponds/mt.lorette%20clear%20blue%20water.jpg
3485,wb3485,Attraction,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Attraction.jpg
3485,wb3485,Day Use Area,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Day%20Use%20Area.jpg
3485,wb3485,Dock,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Dock.jpg
3485,wb3485,Information Sign,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Information%20Sign.jpg
3485,wb3485,Rocky Children's Pond (1),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Rocky%20Children's%20Pond%20(1).JPG
3485,wb3485,Rocky Children's Pond (2),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Rocky%20Children's%20Pond%20(2).JPG
3485,wb3485,Rocky Children's Pond (3),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Rocky%20Children's%20Pond%20(3).JPG
3485,wb3485,Rocky Children's Pond (4),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Rocky%20Children's%20Pond%20(4).JPG
3485,wb3485,Submerged Dock,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Submerged%20Dock.jpg
3485,wb3485,View from Bridge,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/View%20from%20Bridge.jpg
3485,wb3485,View from Bridge (2),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/View%20from%20Bridge%20(2).jpg
3485,wb3485,View from Bridge (3),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/View%20from%20Bridge%20(3).jpg
3485,wb3485,View from Bridge (4),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/View%20from%20Bridge%20(4).jpg
3485,wb3485,View from Bridge (5),https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/View%20from%20Bridge%20(5).jpg
3485,wb3485,View from Shore,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/View%20from%20Shore.jpg
3485,wb3485,View from far side of Pond,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/View%20from%20far%20side%20of%20Pond.jpg
3485,wb3485,Washroom Facilities,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Rocky%20Children's%20Pond/Washroom%20Facilities.jpg
3486,wb3486,Sibbald Meadows Pond,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Sibbald%20Meadows%20Pond/Sibbald%20Meadows%20Pond.JPG
3494,wb3494,BIR winter ice,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/BIR%20winter%20ice.jpg
3494,wb3494,Blood Indian  Reservoir Carp,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20%20Reservoir%20Carp.JPG
3494,wb3494,Blood Indian Reservoir,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir.jpg
3494,wb3494,Blood Indian Reservoir Windy Point,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir%20Windy%20Point.jpg
3494,wb3494,Blood Indian Reservoir boat on shore,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir%20boat%20on%20shore.JPG
3494,wb3494,Blood Indian Reservoir camp ground,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir%20camp%20ground.jpg
3494,wb3494,Blood Indian Reservoir east shore from main camp,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir%20east%20shore%20from%20main%20camp.jpg
3494,wb3494,Blood Indian Reservoir looking onto the water from campsite,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir%20looking%20onto%20the%20water%20from%20campsite.JPG
3494,wb3494,Blood Indian Reservoir looking over water,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir%20looking%20over%20water.JPG
3494,wb3494,Blood Indian Reservoir roadway and water,https://mywildalberta.ca/fishing/fish-stocking/fsm-images/Blood%20Indian%20Creek%20Reservoir/Blood%20Indian%20Reservoir%20roadway%20and%20water.JPG
