waterbody_id,year,species,length_cm,weight_g,records
2129,2022,RNTR,21.1,104.6,1
2129,2022,RNTR,23.5,142.8,1
2129,2022,RNTR,24.8,168.8,1
2129,2023,RNTR,21.3,104.1,1
2129,2024,RNTR,21.5,107.2,1
2129,2025,RNTR,22.1,118.6,1
3476,2021,RNTR,22.6,127.5,1
3476,2021,RNTR,23.3,140.0,1
3476,2022,RNTR,21.3,105.3,1
3476,2022,RNTR,23.0,133.0,1
3476,2023,RNTR,21.3,105.0,1
3476,2023,RNTR,21.8,112.0,1
3476,2023,RNTR,22.3,199.1,1
3476,2024,RNTR,22.8,128.4,1
3476,2024,RNTR,23.1,132.5,1
3476,2024,RNTR,24.6,161.0,1
3476,2024,RNTR,24.9,166.1,1
3476,2025,CTTR,13.2,24.7,1
3476,2025,CTTR,17.0,52.7,1
3476,2025,CTTR,37.8,583.0,1
3476,2026,WSCT,14.2,31.0,1
3476,2026,WSCT,14.3,31.6,1
3476,2026,WSCT,17.9,62.2,1
3479,2021,RNTR,20.4,93.4,1
3479,2022,RNTR,18.7,71.8,1
3479,2023,RNTR,17.8,61.0,1
3479,2024,RNTR,20.0,85.9,1
3479,2025,RNTR,17.8,62.5,1
3479,2026,RNTR,15.8,43.9,1
3482,2021,RNTR,22.2,121.4,1
3482,2021,RNTR,22.6,127.5,1
3482,2021,RNTR,23.3,140.0,1
3482,2021,RNTR,24.4,161.7,1
3482,2021,RNTR,26.6,185.2,1
3482,2022,RNTR,21.5,108.1,1
3482,2022,RNTR,21.6,109.3,1
3482,2022,RNTR,22.8,129.0,1
3482,2022,RNTR,23.7,150.0,1
3482,2023,RNTR,21.3,105.0,1
3482,2023,RNTR,21.4,106.1,1
3482,2023,RNTR,21.8,112.0,1
3482,2023,RNTR,22.3,199.1,1
3482,2023,RNTR,22.6,125.1,1
3482,2023,RNTR,23.1,133.1,1
3482,2024,RNTR,21.6,96.0,1
3482,2024,RNTR,22.8,128.4,1
3482,2024,RNTR,23.1,132.5,1
3482,2024,RNTR,24.9,166.1,2
3482,2024,RNTR,25.3,174.4,1
3482,2024,RNTR,27.5,224.5,1
3482,2025,CTTR,13.2,24.7,1
3482,2025,CTTR,15.0,36.8,1
3482,2025,CTTR,16.8,51.0,1
3482,2025,CTTR,17.2,55.1,1
3482,2025,CTTR,37.8,583.0,1
3482,2025,RNTR,20.1,87.7,1
3482,2025,RNTR,23.0,131.0,1
3482,2025,RNTR,25.2,172.4,1
3482,2025,RNTR,25.3,174.0,1
3482,2026,RNTR,20.3,90.7,1
3482,2026,RNTR,21.5,107.0,1
3482,2026,RNTR,21.7,111.1,1
3482,2026,RNTR,22.9,129.7,1
3482,2026,WSCT,14.2,30.8,1
3482,2026,WSCT,15.8,42.5,1
3482,2026,WSCT,16.7,50.0,1
3482,2026,WSCT,17.9,62.2,1
3485,2021,RNTR,18.5,70.9,1
3485,2022,RNTR,28.7,190.1,1
3485,2023,RNTR,20.3,90.9,1
3485,2023,RNTR,21.2,105.6,1
3485,2023,RNTR,24.6,160.1,1
3485,2024,RNTR,23.2,135.0,2
3485,2024,RNTR,27.7,235.1,1
3485,2024,RNTR,45.1,1610.0,1
3485,2025,RNTR,23.0,132.0,1
3485,2025,RNTR,25.3,174.0,1
3485,2026,RNTR,23.9,147.0,1
3486,2021,RNTR,22.7,130.1,1
3486,2021,RNTR,23.1,136.1,1
3486,2022,RNTR,21.5,108.1,1
3486,2022,RNTR,22.9,131.0,1
3486,2023,RNTR,21.3,105.0,1
3486,2023,RNTR,21.8,112.0,1
3486,2024,RNTR,23.1,132.5,1
3486,2024,RNTR,23.2,134.0,1
3486,2025,RNTR,20.6,95.0,1
3486,2025,RNTR,23.4,138.8,1
3486,2025,RNTR,23.7,143.9,1
3486,2026,RNTR,20.3,90.7,1
3486,2026,RNTR,22.7,125.8,1
3486,2026,RNTR,22.9,129.7,1
3494,2021,BNTR,9.0,9.1,1
3494,2021,BNTR,17.0,54.0,1
3494,2021,BNTR,23.5,142.8,1
3494,2021,RNTR,10.7,13.4,1
3494,2021,RNTR,17.0,54.0,2
3494,2021,RNTR,19.0,78.1,1
3494,2021,RNTR,20.9,100.6,1
3494,2021,RNTR,24.0,113.2,1
3494,2021,RNTR,30.0,410.0,1
3494,2021,RNTR,50.0,2660.0,1
3494,2021,TGTR,17.7,60.9,1
3494,2022,BNTR,8.8,7.4,1
3494,2022,BNTR,10.3,12.1,1
