html_name,ats,html_lat,html_lon,Name Diff,Trout Map Name,name,zone,lat,lon,surface_area,site_amenities
Acadia Valley Reservoir,SW5-25-2-W4,51.0906,-110.1673,Match,Acadia Valley Reservoir,Acadia Valley Reservoir,PP2,51.099316,-110.25524,(ha): 13.2 hectares,"Camping on site, picnic tables, playground, boat launch, outhouses."
Alford Lake,SW4-36-8-W5,52.0471,-115.0428,Match,Alford Lake,Alford Lake,ES2,52.063523,-115.092202,(ha): 4.9 hectares,There is a small picnic area but this waterbody has no amenities.
Allison Lake,SW27-8-5-W5,49.6703,-114.6102,Not Match,Allison Lake (Chinook Lake),Allison Lake (Chinook Lake),ES1,49.672284,-114.604063,(ha): 2.7 hectares,"Camping on site, beached area, boat launch (non-propeller), water pump available, firewood available on or near campground, picnic shelter, day use area"
Allstones Lake,NW30-38-17-W5,52.2862,-116.2804,Match,Allstones Lake,Allstones Lake,ES2,52.303119,-116.418572,(ha): 3.5 hectares,"Pit toilet, backcountry camping."
Anderson Dam,SW25-28-21-W4,51.4094,-112.9102,Match,Anderson Dam,Anderson Dam,PP2,51.419906,-112.838356,(ha): 2 hectares,"Day use, no open fires, foot access only"
Ardmore Community Pond,NW1-62-4-W4,54.3152,-110.5777,Match,Ardmore Community Pond,Ardmore Community Pond,NB1,54.339952,-110.479159,(ha): 4 hectares,This waterbody has no amenities.
Ashland Reservoir,NW17-48-3-W5,53.1268,-114.32,Match,Ashland Reservoir,Ashland Reservoir,PP2,53.147371,-114.409999,(ha): 11.2 hectares,"Camping on site, fire pits, firewood available, picnic tables, playground."
Aster Lake,SE5-19-9-W5,50.5688,-115.1352,Match,Aster Lake,Aster Lake,ES1,50.577603,-115.210545,(ha): 1.8 hectares,"Vault toilets, bear boxes for security."
Atlantic Richfield Reservoir,NE29-67-9-W5,54.808,-115.2511,Match,Atlantic Richfield Reservoir,Atlantic Richfield Reservoir,NB2,54.832388,-115.326749,(ha): 5.3 hectares,This waterbody has no amenities..
Bashaw Pond,SE4-42-21-W4,52.5688,-112.9269,Match,Bashaw Pond,Bashaw Pond,PP2,52.581079,-112.966507,(ha): 12 hectares,Day use only no open fires foot access only.
Bathing Lake,SE11-4-1-W5,49.279,-114.1055,Match,Bathing Lake,Bathing Lake,ES1,49.278825,-114.024744,(ha): 5.6 hectares,"Parking lot, pit toilets."
Bear Pond,NW36-14-4-W5,50.2138,-114.5266,Match,Bear Pond,Bear Pond,ES1,50.218457,-114.430019,(ha): 3.3 hectares,This waterbody has no amenities.
Beaumont Pond,NW27-50-24-W4,53.3297,-113.4278,Not Match,Beaumont Pond,Beaumont,PP2,53.346482,-113.430512,(ha): 5.8 hectares,This waterbody has no amenities.
Beauvais Lake,SW29-5-1-W5,49.4094,-114.0278,Match,Beauvais Lake,Beauvais Lake,ES1,49.411416,-114.105019,(ha): 82.8 hectares,"Camping on site, fire pits, firewood, picnic tables, playground, boat launch, fish cleaning station, day use areas, horseshoe pit, sewage dumping station, hiking trails."
Beaver Lake,NE16-35-6-W5,51.9964,-114.7709,Match,Beaver Lake,Beaver Lake,ES2,52.006721,-114.788387,(ha): 31.1 hectares,"Lots of parking, day use area with tables for picnicking and outhouses, no overnight camping permitted."
Beaver Mines Lake,NE11-5-3-W5,49.3732,-114.3728,Match,Beaver Mines Lake,Beaver Mines Lake,ES1,49.372895,-114.296284,(ha): 67.9 hectares,"Boat launch, water pump, ice fishing, canoeing/kayaking, swimming, hiking."
Bellis Beach Lake,SE15-59-15-W4,54.0761,-112.1676,Match,Bellis Beach Lake,Bellis Beach Lake,NB1,54.100613,-112.15247,(ha): 19.6 hectares,"Picnic sites, firewood available, pump water available, pit toilets."
Big Iron Lake,NW1-15-4-W5,50.2283,-114.5267,Match,Big Iron Lake,Big Iron Lake,ES1,50.233539,-114.430313,(ha): 1.8 hectares,Day use only no open fires foot access only.
Birch Lake,SE18-35-6-W5,51.9891,-114.7237,Match,Birch Lake,Birch Lake,ES2,52.011667,-114.854167,(ha): 28.8 hectares,"Small parking area with outhouses, hand launch."
Black Nugget Mine Pit,NW11-49-18-W4,53.1993,-112.5706,Match,Black Nugget Mine Pit,Black Nugget Mine Pit,PP2,53.217685,-112.532662,(ha): 2.1 hectares,"Camping on site, firewood available, tap water available, sewage dumping station, playground, picnic shelter, day use area, group camping, boat launch."
